startDate,endDate,status,progress,duration,finished,recordedDate,responseId,distributionChannel,userLanguage,E8.1,E8.2,E10.1,E10.2,E14.1,E14.2,E15.1,E15.2,E18.1,E18.2,E21.1,E21.2,E5.1,E5.2,E11.1,E11.2,E17.1,E17.2,E1.1,E1.2,E6.1,E6.2,E12.1,E12.2,E3.1,E3.2,E19.1,E19.2,E20.1,E20.2,E4.1,E4.2,E7.1,E7.2,E9.1,E9.2,E2.1,E2.2,E13.1,E13.2,E16.1,E16.2
2024-10-10 06:38:43,2024-10-10 06:44:11,0,100,327,1,2024-10-10 06:44:12,R_8wnRNhTZ5TXzsxI,anonymous,EN,1,5,,,,,1,5,1,5,2,4,2,6,,,1,6,,,2,5,2,6,,,2,5,1,4,2,4,2,6,,,,,1,3,2,4
2024-10-10 06:43:46,2024-10-10 06:48:45,0,100,298,1,2024-10-10 06:48:46,R_3g6qFggmLNCaW4f,anonymous,EN,1,5,,,1,4,1,4,,,2,4,1,5,1,4,,,2,5,2,5,,,2,5,2,5,,,1,5,,,1,4,,,2,4,2,5
2024-10-10 06:47:23,2024-10-10 06:54:11,0,100,408,1,2024-10-10 06:54:12,R_6fxsQzi2MSS0S6u,anonymous,EN,1,5,1,5,,,,,2,4,2,6,,,2,5,1,5,1,5,,,2,6,1,4,2,6,,,,,2,6,1,4,,,1,5,2,6
2024-10-10 06:35:31,2024-10-10 07:11:53,0,100,2181,1,2024-10-10 07:11:54,R_5g6BfBLiWh3Vsx6,anonymous,EN,,,1,4,1,5,1,5,,,2,3,,,2,6,1,5,2,6,2,2,,,1,4,,,2,5,2,2,,,1,4,2,4,2,4,,
2024-10-10 06:57:23,2024-10-10 07:17:48,0,100,1224,1,2024-10-10 07:17:49,R_724vuSiuNf8D3lv,anonymous,EN,2,2,1,4,2,1,2,5,,,,,,,2,5,1,5,2,4,,,1,3,2,6,2,6,,,,,2,6,1,4,2,6,,,2,5
2024-10-10 07:21:27,2024-10-10 07:39:30,0,100,1083,1,2024-10-10 07:39:31,R_3rqH6Qr51hOLP7a,anonymous,EN,1,3,,,,,2,5,2,5,2,6,1,5,2,6,,,2,2,,,2,5,2,6,,,2,6,1,4,,,1,6,1,4,,,1,5
2024-10-10 07:20:18,2024-10-10 07:42:59,0,100,1361,1,2024-10-10 07:43:00,R_36lrmwaMXc8Hles,anonymous,EN,,,2,5,,,2,4,2,6,1,2,,,2,6,1,5,,,1,5,1,3,2,6,,,2,5,,,2,6,1,5,1,4,,,2,4
2024-10-10 07:41:12,2024-10-10 07:45:56,0,100,284,1,2024-10-10 07:45:57,R_7XjTu738p9eNj5F,anonymous,EN,2,5,2,4,,,1,5,1,5,,,,,2,5,2,4,2,5,,,2,5,2,4,2,4,,,1,4,,,1,4,1,4,,,2,5
2024-10-10 08:34:37,2024-10-10 08:42:38,0,100,480,1,2024-10-10 08:42:39,R_7dVXDAkzIyeLB5c,anonymous,EN,1,4,1,5,,,2,4,2,4,,,,,2,6,1,3,2,4,2,4,,,,,2,6,2,5,2,3,,,1,5,1,4,1,3,,
2024-10-10 09:08:17,2024-10-10 09:14:58,0,100,401,1,2024-10-10 09:14:59,R_8lPovAASOhRyntF,anonymous,EN,1,6,,,,,1,3,1,6,2,6,1,4,2,6,,,1,1,1,1,,,2,6,,,2,6,1,2,2,6,,,2,4,,,1,4
2024-10-10 09:23:25,2024-10-10 09:37:14,0,100,829,1,2024-10-10 09:37:14,R_8L5QNLHwkhrErCi,anonymous,EN,1,4,,,1,4,1,5,,,1,4,,,1,6,1,5,,,2,4,1,5,,,2,5,1,4,2,4,,,2,4,,,1,6,2,3
2024-10-10 06:43:12,2024-10-10 09:55:29,0,100,11536,1,2024-10-10 09:55:29,R_21oA9124D7zA46y,anonymous,EN,,,,,2,2,1,5,1,3,1,6,2,6,,,1,6,,,2,4,2,4,,,2,6,2,5,,,2,6,1,5,2,4,,,1,5
2024-10-10 10:55:55,2024-10-10 11:03:05,0,100,429,1,2024-10-10 11:03:05,R_13VcFqumkUeUJrP,anonymous,EN,,,1,4,2,2,1,4,,,2,5,2,5,2,6,,,,,2,4,1,3,2,3,2,4,,,2,4,,,1,4,,,1,3,2,4
2024-10-10 11:00:25,2024-10-10 11:12:04,0,100,698,1,2024-10-10 11:12:05,R_81i5uUUkEUs7V5K,anonymous,EN,1,5,1,5,1,3,,,,,2,5,,,2,5,1,6,2,5,1,6,,,,,2,5,2,6,2,4,,,1,6,2,5,,,1,5
2024-10-10 11:44:19,2024-10-10 12:02:17,0,100,1078,1,2024-10-10 12:02:19,R_4AMrJEjnRLIt55F,anonymous,EN,,,1,6,2,6,2,4,,,1,6,,,2,4,1,6,2,6,2,5,,,,,1,6,2,6,2,3,,,1,4,,,2,6,2,5
2024-10-10 12:02:51,2024-10-10 12:05:59,0,100,187,1,2024-10-10 12:05:59,R_7R20u4FJ2qHSeIE,anonymous,EN,,,1,3,,,2,6,1,3,1,4,2,6,2,6,,,2,6,2,6,,,2,4,,,1,6,2,6,,,2,6,2,6,2,6,,
2024-10-10 12:53:22,2024-10-10 13:04:39,0,100,677,1,2024-10-10 13:04:40,R_7ReAGbdFODcqkss,anonymous,EN,1,4,1,5,1,5,,,2,3,,,2,4,,,1,6,1,5,,,2,4,,,2,6,2,5,,,2,6,1,5,,,1,6,1,6
2024-10-11 02:46:54,2024-10-11 03:02:36,0,100,941,1,2024-10-11 03:02:37,R_4DTFUET3wEDytfc,anonymous,EN,2,4,,,,,1,6,1,5,1,5,2,4,,,1,6,2,5,,,2,4,2,4,,,1,4,,,2,6,2,4,1,5,,,1,5
2024-10-11 03:14:24,2024-10-11 03:33:02,0,100,1118,1,2024-10-11 03:33:02,R_2LUWHqtt40oPKHK,anonymous,EN,,,,,2,5,2,5,1,4,2,5,2,6,2,5,,,,,2,6,2,5,2,6,2,6,,,,,2,4,1,4,1,4,1,5,,
2024-10-11 09:19:52,2024-10-11 09:22:22,0,100,149,1,2024-10-11 09:22:23,R_2ykCkZw1DIgp1Is,anonymous,EN,1,4,,,1,5,,,2,5,2,5,1,4,,,1,5,1,6,2,4,,,2,5,,,1,4,,,1,4,2,4,,,1,5,2,5
2024-10-10 06:38:45,2024-10-11 11:59:42,0,100,105656,1,2024-10-11 11:59:43,R_5uEynDisNrglZT8,anonymous,EN,1,2,2,2,1,4,,,,,1,2,,,1,4,1,3,2,5,2,5,,,1,3,2,2,,,,,2,5,2,3,,,2,2,2,2
2024-10-12 06:02:58,2024-10-12 06:08:00,0,100,301,1,2024-10-12 06:08:01,R_8nuBvDIhPkbFrqX,anonymous,EN,1,3,2,2,,,1,4,1,5,,,1,2,2,6,,,,,2,5,1,3,,,2,6,2,6,,,1,5,1,4,2,6,,,2,6
2024-10-12 06:04:50,2024-10-12 06:09:44,0,100,293,1,2024-10-12 06:09:45,R_83DP9n9DwQtncIH,anonymous,EN,1,5,,,1,5,,,2,3,1,4,1,4,2,5,,,2,5,,,1,1,2,5,2,5,,,2,5,,,2,4,1,4,2,4,,
2024-10-12 06:13:14,2024-10-12 06:20:43,0,100,448,1,2024-10-12 06:20:43,R_2DcGzaELN37KF3r,anonymous,EN,,,,,2,2,2,5,1,6,1,6,2,6,2,6,,,2,5,2,6,,,2,5,,,2,6,,,2,6,1,5,,,2,5,1,3
2024-10-12 05:53:51,2024-10-12 06:41:14,0,100,2843,1,2024-10-12 06:41:15,R_20SMy023BtOJDdK,anonymous,EN,2,5,,,2,4,,,2,5,2,5,,,2,5,1,4,2,5,2,5,,,2,5,1,5,,,2,5,1,5,,,1,5,1,4,,
2024-10-12 08:20:58,2024-10-12 08:56:56,0,100,2157,1,2024-10-12 08:56:56,R_8n1FPc5faD1XsfD,anonymous,EN,,,1,6,2,3,1,5,1,5,,,2,5,,,1,5,2,5,2,5,,,,,2,4,1,4,2,6,2,6,,,2,4,,,1,5
2024-10-12 10:16:38,2024-10-12 10:24:18,0,100,460,1,2024-10-12 10:24:19,R_810BdZjawpMGB8E,anonymous,EN,,,,,2,4,2,4,1,3,1,4,1,4,2,6,,,1,6,1,2,,,2,6,,,2,6,2,4,,,2,6,2,5,,,2,5
2024-10-12 10:44:37,2024-10-12 10:57:34,0,100,776,1,2024-10-12 10:57:35,R_8PVTHnfPAaRbMHL,anonymous,EN,1,4,1,5,,,2,6,1,5,,,,,2,6,1,5,,,2,6,2,6,,,2,6,2,4,,,2,6,2,3,1,5,1,4,,
2024-10-12 10:57:50,2024-10-12 12:07:04,0,100,4153,1,2024-10-12 12:07:05,R_2DlHL1MLbl6PNPb,anonymous,EN,2,6,1,6,2,5,,,,,1,5,2,5,2,6,,,2,5,,,2,6,,,2,5,2,4,,,2,6,2,5,2,5,2,6,,
2024-10-12 08:21:00,2024-10-12 13:15:41,0,100,17680,1,2024-10-12 13:15:41,R_2K76xn87407KpOa,anonymous,EN,,,1,5,2,5,1,3,1,5,,,,,2,5,1,6,,,2,6,2,5,,,2,5,2,5,1,5,,,2,5,2,2,2,6,,
2024-10-13 19:13:12,2024-10-13 19:25:43,0,100,750,1,2024-10-13 19:25:44,R_5inuVZQJnuK86h7,anonymous,EN,1,5,1,3,,,,,2,4,2,6,2,6,,,1,6,,,2,6,2,4,2,6,2,6,,,2,4,,,2,6,2,3,,,2,5
